Embrun (44.5670N, 6.5000E) FRM00007591           GHCN V4 adj - homogenized

YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1958   -0.37    4.41    2.81    6.79   15.25   15.03   18.43   19.52   16.86   10.31    7.32    1.65    2.02    8.28   17.66   11.50    9.87
1959   -0.91    5.86    7.91    8.82   13.11   16.90   20.73   18.19   16.49   10.70    4.66    1.98    2.20    9.95   18.61   10.62   10.34
1960    0.30    3.28    5.99    9.29   14.64   17.39   16.96   16.84   13.58    8.45    5.40    1.13    1.85    9.97   17.06    9.14    9.51
1961   -0.20    4.79    8.41   10.81   12.04   16.82   17.82   19.00   18.52   11.27    5.96    3.41    1.91   10.42   17.88   11.92   10.53
1962    2.33    1.78    2.45    8.25   11.67   16.00   18.84   20.56   15.69   12.20    3.74   -0.40    2.51    7.46   18.47   10.54    9.74
1963   -2.60   -1.24    4.15    8.96   12.60   15.86   19.48   16.68   14.72   10.51    6.85    2.04   -1.41    8.57   17.34   10.69    8.80
1964    2.08    3.65    4.96    9.83   14.74   17.55   20.29   18.07   15.71    8.75    6.93    1.49    2.59    9.84   18.64   10.46   10.38
1965   -0.01   -0.29    4.34    7.79   12.76   17.03   17.99   17.88   12.85   12.48    4.53    1.01    0.40    8.30   17.63    9.95    9.07
1966   -0.80    5.58    4.88    9.68   13.41   17.09   17.16   17.41   17.73   12.11    1.90    0.42    1.93    9.32   17.22   10.58    9.76
1967    0.13    3.09    6.94    8.44   12.57   15.57   21.18   19.67   15.14   13.06    6.91    0.78    1.21    9.32   18.81   11.70   10.26
1968   -1.16    2.76    6.46   10.57   11.57   15.72   19.15   16.37   14.04   12.71    5.86    1.81    0.79    9.53   17.08   10.87    9.57
1969    0.54   -0.61    5.66    8.79   13.47   14.30   19.04   17.29   15.74   13.54    5.54   -0.92    0.58    9.31   16.88   11.61    9.59
1970    1.67    1.13    2.34    6.58   11.85   17.51   18.78   18.80   17.18   10.47    6.80    1.75    0.63    6.92   18.36   11.48    9.35
1971    0.26    2.46    1.62   10.93   12.87   14.42   19.51   20.29   15.62   12.28    3.61    4.18    1.49    8.47   18.07   10.50    9.64
1972    2.18    3.59    7.05    8.52   11.82   14.70   18.26   17.16   12.86   10.56    6.93    4.95    3.32    9.13   16.71   10.12    9.82
1973    2.82    1.07    5.07    5.91   13.67   16.78   18.08   19.77   16.38   10.39    5.34    1.52    2.95    8.22   18.21   10.70   10.02
1974    4.09    3.72    6.88    8.93   12.12   15.19   18.55   20.25   13.95    4.58    4.53    2.99    3.11    9.31   18.00    7.69    9.53
1975    3.95    5.63    3.99    8.59   11.67   15.06   19.05   19.34   15.84    9.98    5.16    3.83    4.19    8.08   17.82   10.33   10.10
1976    1.79    4.74    5.78    8.59   14.21   18.91   19.09   17.54   13.23   10.44    3.60    1.28    3.45    9.53   18.51    9.09   10.15
1977    1.01    4.52    8.79    8.47   11.06   14.64   17.21   16.12   14.62   12.84    4.38    2.57    2.27    9.44   15.99   10.61    9.58
1978    0.37    0.45    6.60    7.55   11.98   15.20   17.91   17.83   15.99   11.28    6.84    3.65    1.13    8.71   16.98   11.37    9.55
1979   -0.97    3.61    5.31    7.07   12.92   17.35   19.28   17.89   15.97   11.22    4.92    3.20    2.10    8.43   18.17   10.70    9.85
1980    0.10    4.97    5.00    7.17   10.81   14.70   17.06   19.78   16.91    9.55    5.43    1.07    2.76    7.66   17.18   10.63    9.56
1981   -1.08    0.77    7.03   10.29   12.04   16.83   17.08   19.28   15.96   10.63    5.54    0.60    0.25    9.79   17.73   10.71    9.62
1982    3.91    3.77    4.59    9.25   13.37   17.15   21.59   19.04   17.35    9.63    5.71    2.25    2.76    9.07   19.26   10.90   10.50
1983    4.11   -0.45    5.86    7.38   10.75   16.59   22.94   18.86   17.14   11.47    6.91    2.23    1.97    8.00   19.46   11.84   10.32
1984   -0.47   -0.76    3.24    8.98    9.47   15.85   19.87   18.43   13.77   10.50    7.53    2.56    0.33    7.23   18.05   10.60    9.05
1985   -3.21    2.81    3.29    9.04   11.47   15.05   20.77   19.16   18.22   13.57    2.16    2.65    0.72    7.93   18.33   11.32    9.57
1986   -1.28   -1.43    5.78    6.31   14.93   16.74   19.25   19.33   16.57   13.30    6.85    1.15   -0.02    9.01   18.44   12.24    9.92
1987   -0.92    3.11    3.12    9.70   11.44   15.04   18.70   19.65   18.90   11.51    5.35    4.25    1.11    8.09   17.80   11.92    9.73
1988    3.36    1.55    4.10   10.15   13.66   15.65   19.46   20.35   15.22   12.04    5.23    2.65    3.05    9.30   18.49   10.83   10.42
1989    3.89    4.05    8.67    6.79   14.51  999.90  999.90   20.13   15.69   12.13    6.67    4.05    3.53    9.99  999.90   11.50   11.16
